text1,text2,score
It is cloudy today,The food tastes great,0.03
It might snow today,The weather is hot,0.73
I am tired,I am cleaning my room,0.03
It is raining today,I feel excited,0.42
It might snow today,It is windy today,0.63
The food tastes great,It might snow today,0.41
I am a bit upset,It is sunny today,0.22
I am playing football,It is cloudy today,0.45
I am going to the gym,I am reading a book,0.81
I am watching a movie,I am feeling great,0.46
The bed is comfortable,The movie was boring,0.78
The bed is comfortable,It is raining today,0.42
I am a bit upset,It is humid today,0.26
I am tired,I am cooking dinner,0.27
It is sunny today,It is sunny today,0.52
The bed is comfortable,I am tired,0.01
I am reading a book,I am reading a book,0.66
I feel excited,I am sad,0.62
I am feeling great,I am going to the gym,0.04
The weather is hot,It might snow today,1.0
I am going to the gym,The bed is comfortable,0.03
It might snow today,It is sunny today,0.87
The weather is hot,It is humid today,0.84
The computer is running,I am learning something new,0.9
I am coding a project,I am cooking dinner,0.73
I love listening to music,I am learning something new,0.57
I am cooking dinner,I love listening to music,0.13
I am cleaning my room,I feel nervous,0.36
It is cloudy today,I am happy,0.14
I am cleaning my room,I feel excited,0.36
I am cooking dinner,I am watching a movie,0.53
It is windy today,The bed is comfortable,0.22
I am watching a movie,I am playing football,0.75
I am watching a movie,I am watching a movie,0.71
The computer is running,The movie was boring,0.57
The movie was boring,The weather is hot,0.23
It is cloudy today,I am going to the gym,0.44
The bed is comfortable,I am going to the gym,0.07
It is cloudy today,It is raining today,0.74
The computer is running,The movie was boring,0.58
The food tastes great,I am going to the gym,0.41
I am scared,I feel excited,0.94
The food tastes great,I feel nervous,0.01
The food tastes great,The weather is cold,0.33
It is sunny today,I am tired,0.5
I am a bit upset,The movie was boring,0.47
It might snow today,The weather is cold,0.51
I am tired,I am happy,0.87
I am reading a book,I am coding a project,0.62
I am going to the gym,I am watching a movie,0.95
I feel nervous,I am watching a movie,0.49
The food tastes great,The bed is comfortable,0.8
I am coding a project,I am sad,0.27
It is humid today,I am cleaning my room,0.21
It is cloudy today,I am reading a book,0.32
The weather is cold,It is windy today,0.78
I feel excited,I am feeling great,0.69
I am sad,The weather is cold,0.33
I am going to the gym,I am studying for exams,0.85
I love listening to music,I am going to the gym,0.31
I am studying for exams,I am playing football,0.52
The food tastes great,The food tastes great,0.67
It is windy today,I am happy,0.15
I feel excited,I am tired,0.6
The weather is hot,The computer is running,0.45
It is windy today,The weather is cold,0.62
I am tired,I am sad,0.93
The weather is hot,I am sad,0.43
The computer is running,I love listening to music,0.79
It is humid today,It is windy today,1.0
The movie was boring,I am tired,0.14
I am studying for exams,I am watching a movie,0.8
I am tired,I am happy,0.86
It might snow today,I am sad,0.02
The movie was boring,The bed is comfortable,0.78
I am sad,I am scared,0.5
It is humid today,I am cooking dinner,0.26
The bed is comfortable,I love listening to music,0.84
I am scared,It is cloudy today,0.3
The bed is comfortable,I love listening to music,0.75
I love listening to music,The computer is running,0.97
I am feeling great,I am sad,0.54
The weather is cold,It is humid today,0.83
I am scared,I am playing football,0.02
I am studying for exams,I am studying for exams,0.64
I love listening to music,The computer is running,0.59
I am a bit upset,The food tastes great,0.48
I am a bit upset,I feel excited,0.54
The weather is cold,The weather is cold,0.9
It is windy today,It is sunny today,0.72
I am cleaning my room,I am playing football,0.66
I am feeling great,I feel nervous,0.81
I am learning something new,I feel nervous,0.1
I am sad,The movie was boring,0.18
I love listening to music,The food tastes great,0.59
The weather is cold,It is cloudy today,0.74
I am a bit upset,I am feeling great,0.62
I am feeling great,I love listening to music,0.08
I am coding a project,I am sad,0.23
I am learning something new,I am cooking dinner,0.15
The computer is running,I am tired,0.31
The bed is comfortable,The food tastes great,0.55
I am learning something new,The bed is comfortable,0.88
It is sunny today,It is sunny today,0.98
I am tired,I am cooking dinner,0.49
It is sunny today,The bed is comfortable,0.27
I love listening to music,I am learning something new,0.74
I am scared,I am tired,0.83
I feel excited,It is sunny today,0.49
The food tastes great,The computer is running,0.78
It is cloudy today,It is cloudy today,0.7
The bed is comfortable,It is cloudy today,0.27
The computer is running,I am learning something new,0.61
It is windy today,I am coding a project,0.23
I love listening to music,I am happy,0.16
It is humid today,It is cloudy today,0.7
I love listening to music,I am cooking dinner,0.2
I am learning something new,I am going to the gym,0.02
I am happy,I am cooking dinner,0.42
I am cooking dinner,I am happy,0.27
It is raining today,I feel excited,0.08
I am playing football,I am reading a book,0.71
I am sad,I am reading a book,0.39
It is windy today,The bed is comfortable,0.48
The bed is comfortable,I love listening to music,0.9
I feel nervous,The food tastes great,0.21
The computer is running,I am coding a project,0.04
The bed is comfortable,I love listening to music,0.6
It is windy today,I am tired,0.03
The food tastes great,I am learning something new,0.87
I am feeling great,I am happy,0.65
The bed is comfortable,The food tastes great,0.57
I am playing football,I am going to the gym,0.55
I am playing football,I am cleaning my room,0.93
The weather is hot,It might snow today,0.99
I am cleaning my room,I love listening to music,0.43
I am sad,It might snow today,0.0
I am tired,I am feeling great,0.79
I am tired,The computer is running,0.47
It is sunny today,I am studying for exams,0.42
It is windy today,It is sunny today,0.94
I love listening to music,I am watching a movie,0.08
I am watching a movie,The movie was boring,0.46
I feel nervous,I feel nervous,0.85
I am feeling great,The bed is comfortable,0.13
I am coding a project,The food tastes great,0.17
It is sunny today,It is humid today,0.83
I am a bit upset,I am sad,0.52
I am scared,I am sad,0.66
I am watching a movie,I am studying for exams,0.62
I am coding a project,I am tired,0.4
The weather is cold,The bed is comfortable,0.18
The weather is cold,It is sunny today,0.85
I am feeling great,I am playing football,0.49
It is windy today,It is windy today,0.73
The computer is running,I am scared,0.37
I am a bit upset,I am sad,0.64
It is windy today,I am reading a book,0.44
The movie was boring,I am cleaning my room,0.24
The weather is hot,I am cleaning my room,0.08
I feel excited,I am tired,0.93
The food tastes great,The bed is comfortable,0.68
It is raining today,The computer is running,0.17
It is cloudy today,It is sunny today,0.81
I feel nervous,It is windy today,0.06
I feel nervous,I am tired,0.73
It might snow today,I am a bit upset,0.42
I am going to the gym,I am coding a project,0.57
The food tastes great,I am cooking dinner,0.44
The computer is running,I am reading a book,0.24
The weather is cold,The weather is hot,0.89
I am watching a movie,I am watching a movie,0.91
I am coding a project,I am sad,0.43
I am a bit upset,I feel nervous,0.73
The computer is running,I am reading a book,0.25
I am learning something new,The movie was boring,0.94
I am cleaning my room,I am going to the gym,0.54
The computer is running,I am learning something new,0.81
I am coding a project,I feel excited,0.36
I am feeling great,I am scared,0.79
It is raining today,It is windy today,0.69
I am cooking dinner,The movie was boring,0.14
I am studying for exams,It is humid today,0.25
The bed is comfortable,The bed is comfortable,0.73
The movie was boring,I am going to the gym,0.27
The food tastes great,The food tastes great,0.61
I feel nervous,The food tastes great,0.38
It is sunny today,The weather is cold,0.7
The food tastes great,I am scared,0.15
The bed is comfortable,The bed is comfortable,0.9
The bed is comfortable,I am going to the gym,0.44
I am going to the gym,I am playing football,0.6
I am feeling great,I feel nervous,0.73
I love listening to music,I am going to the gym,0.25
I am happy,The computer is running,0.07
It is humid today,I am cleaning my room,0.01
I am studying for exams,I am learning something new,0.38
I am a bit upset,I am happy,0.99
I am cleaning my room,I am feeling great,0.23
I am happy,I am learning something new,0.0
The food tastes great,I am cleaning my room,0.46
I am playing football,I am scared,0.18
I love listening to music,The movie was boring,0.67
The computer is running,The food tastes great,1.0
The food tastes great,It is sunny today,0.46
It is sunny today,It is windy today,0.62
I am coding a project,I love listening to music,0.17
The computer is running,I am studying for exams,0.48
It is humid today,It is sunny today,0.83
I am sad,I am scared,0.71
The bed is comfortable,I am feeling great,0.43
The bed is comfortable,I am coding a project,0.0
I am scared,It might snow today,0.18
It is humid today,I am feeling great,0.34
It is humid today,It is cloudy today,0.78
I am studying for exams,I am learning something new,0.36
The computer is running,I am sad,0.13
I am cleaning my room,The weather is cold,0.21
I am watching a movie,I am going to the gym,0.59
The food tastes great,I love listening to music,0.89
I am learning something new,I am watching a movie,0.05
I am playing football,I am cooking dinner,0.81
I feel nervous,The weather is cold,0.03
I am cleaning my room,I am happy,0.2
I am playing football,I am reading a book,0.9
I am tired,It might snow today,0.02
I am happy,I am tired,0.8
It might snow today,The food tastes great,0.36
I am coding a project,I am happy,0.02
It might snow today,It is humid today,0.86
I am sad,The movie was boring,0.18
I am cleaning my room,The bed is comfortable,0.46
I feel excited,I am a bit upset,0.86
I am coding a project,I am scared,0.3
The weather is hot,It might snow today,0.6
I am sad,It is sunny today,0.24
I feel nervous,I am learning something new,0.41
I am learning something new,I am sad,0.24
The movie was boring,I feel excited,0.05
I am tired,It is windy today,0.15
I am cooking dinner,I am a bit upset,0.26
I am sad,I am a bit upset,0.53
I am cleaning my room,The bed is comfortable,0.04
I am happy,I am sad,0.87
I am sad,I am happy,0.88
The movie was boring,I am learning something new,0.77
I am going to the gym,I am reading a book,0.73
I am going to the gym,I am coding a project,0.87
It is raining today,The computer is running,0.42
It is sunny today,I am watching a movie,0.35
The weather is cold,I am learning something new,0.28
I am sad,I feel nervous,0.88
The food tastes great,I love listening to music,0.82
The movie was boring,The food tastes great,0.85
I love listening to music,The food tastes great,0.57
I am cleaning my room,I am coding a project,0.92
I am scared,The food tastes great,0.07
I am learning something new,I am sad,0.11
It is sunny today,The computer is running,0.01
I am coding a project,I am going to the gym,0.57
The weather is hot,The food tastes great,0.08
I am studying for exams,I am studying for exams,0.77
The weather is cold,The weather is hot,0.56
It is cloudy today,It is humid today,0.82
I feel nervous,The movie was boring,0.44
I feel excited,I am happy,0.77
The weather is hot,The computer is running,0.09
It is humid today,The weather is hot,0.69
I am playing football,I feel nervous,0.01
I am coding a project,I am coding a project,0.73
I am reading a book,I am a bit upset,0.33
I am learning something new,The computer is running,0.53
The weather is hot,I am learning something new,0.04
I am coding a project,It is humid today,0.28
It might snow today,The weather is hot,0.66
I am coding a project,I am going to the gym,0.86
The computer is running,The weather is hot,0.38
I am tired,The computer is running,0.06
I am playing football,I am coding a project,0.74
The computer is running,The weather is cold,0.06
I am sad,I am a bit upset,0.92
I am playing football,I am scared,0.27
I love listening to music,The bed is comfortable,0.77
I am cooking dinner,I am cleaning my room,0.56
I am scared,I am sad,0.56
I am going to the gym,I am sad,0.34
The computer is running,The movie was boring,0.85
It is cloudy today,The computer is running,0.18
It is raining today,I am feeling great,0.45
The movie was boring,I am coding a project,0.23
I feel excited,I am watching a movie,0.3
The movie was boring,The bed is comfortable,0.87
I am going to the gym,It is cloudy today,0.23
The food tastes great,I am learning something new,0.88
It is windy today,The weather is cold,0.97
It might snow today,It might snow today,0.9
I feel excited,I love listening to music,0.14
I am sad,I feel nervous,0.82
It is humid today,It is raining today,0.65
It is raining today,It is raining today,0.62
The food tastes great,The food tastes great,0.87
I love listening to music,I am happy,0.03
It is raining today,I am happy,0.08
I am studying for exams,I am reading a book,0.65
The movie was boring,It is humid today,0.04
I feel nervous,I am scared,0.51
The bed is comfortable,The computer is running,0.53
I love listening to music,I am sad,0.06
The food tastes great,It might snow today,0.05
I am a bit upset,I am learning something new,0.35
I love listening to music,The weather is hot,0.24
I feel excited,I am feeling great,0.73
I feel excited,I feel nervous,0.67
I am tired,I am playing football,0.45
The bed is comfortable,I am learning something new,0.57
I am going to the gym,I am learning something new,0.35
I am playing football,I am studying for exams,0.71
I feel nervous,I am sad,0.83
I am watching a movie,It is cloudy today,0.31
It might snow today,I am tired,0.37
I am tired,The bed is comfortable,0.19
I love listening to music,The computer is running,0.77
I am cleaning my room,I am playing football,0.97
I am reading a book,I am a bit upset,0.45
I am sad,I am going to the gym,0.38
The weather is cold,I am learning something new,0.11
The movie was boring,I love listening to music,0.65
It is raining today,It is windy today,0.53
The weather is cold,The computer is running,0.45
I am coding a project,I am cooking dinner,0.73
I feel excited,I am scared,0.82
I am feeling great,I love listening to music,0.07
I am learning something new,The food tastes great,0.91
The bed is comfortable,It is raining today,0.15
The food tastes great,The computer is running,0.97
The computer is running,I am learning something new,0.55
I am studying for exams,I am studying for exams,0.56
I am watching a movie,I am playing football,0.92
I am scared,It is windy today,0.28
The food tastes great,I am sad,0.05
I am learning something new,I am learning something new,0.94
I am reading a book,The food tastes great,0.29
I am going to the gym,I am playing football,0.8
The movie was boring,I am tired,0.1
It is humid today,The weather is hot,0.71
It is sunny today,I am a bit upset,0.29
I am cleaning my room,I am cleaning my room,0.91
I am cooking dinner,I am learning something new,0.44
The weather is hot,It is sunny today,0.8
I am watching a movie,The computer is running,0.48
I am a bit upset,I am tired,0.64
The food tastes great,I am studying for exams,0.13
The weather is hot,It might snow today,0.8
The weather is hot,The weather is cold,0.93
It is cloudy today,It is windy today,0.79
I am studying for exams,I am studying for exams,0.63
It is sunny today,It is sunny today,0.69
The weather is cold,It might snow today,0.62
I am sad,I am scared,1.0
I am coding a project,I am cooking dinner,0.96
I love listening to music,The computer is running,0.6
It might snow today,I am cleaning my room,0.37
The movie was boring,I am scared,0.32
I love listening to music,I am happy,0.32
I am a bit upset,I am sad,0.58
The food tastes great,It is cloudy today,0.43
It is sunny today,It is cloudy today,0.64
I am tired,I am watching a movie,0.14
I am going to the gym,I am going to the gym,0.55
I am going to the gym,I am going to the gym,0.6
I feel nervous,The computer is running,0.15
I feel nervous,I am a bit upset,0.54
I am cooking dinner,The movie was boring,0.32
The bed is comfortable,I am cleaning my room,0.19
It is humid today,It might snow today,0.56
I am playing football,It might snow today,0.48
I love listening to music,The computer is running,0.59
I am reading a book,I love listening to music,0.41
I feel nervous,I feel nervous,0.95
It is raining today,I am cooking dinner,0.22
I feel nervous,I am sad,0.75
The movie was boring,I am sad,0.05
It is raining today,It might snow today,0.96
I am playing football,The food tastes great,0.24
I am scared,I feel excited,0.75
The weather is cold,It is windy today,0.71
The weather is cold,It might snow today,0.56
I feel nervous,I am playing football,0.18
I am happy,It is raining today,0.13
I am scared,The movie was boring,0.41
I am coding a project,I am cleaning my room,0.58
I am tired,I am a bit upset,0.91
It might snow today,It is windy today,0.67
I love listening to music,The computer is running,0.56
The computer is running,It is humid today,0.09
I am happy,I feel excited,0.96
I feel excited,I am sad,0.85
It is windy today,I am studying for exams,0.05
I am watching a movie,I feel nervous,0.33
I am happy,I am sad,0.51
I am watching a movie,I am playing football,0.83
I am cleaning my room,I am feeling great,0.01
I am a bit upset,It is cloudy today,0.27
I am reading a book,I am cleaning my room,0.73
I am coding a project,I feel nervous,0.32
I am sad,I am feeling great,0.74
It might snow today,It might snow today,0.62
The computer is running,I am reading a book,0.01
I am going to the gym,I am going to the gym,0.5
I am learning something new,I am cooking dinner,0.24
I feel nervous,I am watching a movie,0.13
I am tired,I am scared,0.57
I am tired,I feel nervous,0.59
I am coding a project,I am cleaning my room,0.9
I am watching a movie,The movie was boring,0.16
I love listening to music,I am playing football,0.18
It might snow today,The weather is cold,0.89
It is sunny today,It might snow today,0.61
It is windy today,It is windy today,0.53
I am coding a project,I am playing football,0.86
I am cooking dinner,I am scared,0.19
I am sad,I am feeling great,0.56
I am a bit upset,I am watching a movie,0.45
The food tastes great,I love listening to music,0.61
I am cleaning my room,I am coding a project,0.71
I am coding a project,I am reading a book,0.62
The bed is comfortable,It is windy today,0.37
I feel excited,I am cleaning my room,0.14
The weather is cold,It is cloudy today,0.88
I am watching a movie,I am studying for exams,0.58
I am a bit upset,The bed is comfortable,0.43
I am cooking dinner,It is windy today,0.44
I am playing football,I am cooking dinner,0.76
I am happy,I am tired,0.72
It is windy today,The food tastes great,0.02
The weather is hot,The weather is hot,0.66
The movie was boring,The weather is cold,0.35
I feel excited,It is sunny today,0.1
I am reading a book,I am watching a movie,0.85
I am scared,I am cleaning my room,0.11
I am sad,I am a bit upset,0.65
I am playing football,I am going to the gym,0.77
I am learning something new,It is sunny today,0.49
The weather is cold,I am playing football,0.32
It is cloudy today,It is raining today,0.87
I am cleaning my room,I am coding a project,0.65
The weather is cold,I am scared,0.3
I am coding a project,The food tastes great,0.05
I am going to the gym,I am watching a movie,0.8
It is cloudy today,It is humid today,0.91
It is raining today,The weather is hot,0.93
I am playing football,I am cleaning my room,0.68
I feel excited,I feel nervous,0.79
I love listening to music,I am going to the gym,0.09
I am playing football,It might snow today,0.19
I am going to the gym,I am watching a movie,0.73
The bed is comfortable,I am learning something new,0.57
I am feeling great,I am cleaning my room,0.4
It is cloudy today,It is cloudy today,0.88
I am sad,The computer is running,0.33
I am playing football,It is raining today,0.13
I am happy,I am tired,0.81
I am watching a movie,I feel excited,0.13
I am studying for exams,I am coding a project,0.97
The movie was boring,It is humid today,0.25
I am sad,I am feeling great,0.57
It is cloudy today,The food tastes great,0.45
The weather is hot,I am scared,0.04
I am reading a book,I am coding a project,0.72
I am sad,I love listening to music,0.36
I am going to the gym,I am watching a movie,0.72
I am reading a book,I love listening to music,0.07
It is humid today,It is raining today,0.84
I am reading a book,I am going to the gym,0.52
I am watching a movie,I am playing football,0.67
I am happy,I am playing football,0.11
The weather is cold,The bed is comfortable,0.02
I am tired,I am learning something new,0.05
I love listening to music,The weather is hot,0.14
I am scared,I am sad,0.96
I am coding a project,I am coding a project,0.81
I am cooking dinner,I am cleaning my room,0.93
I am a bit upset,I am cleaning my room,0.02
I am feeling great,I am feeling great,0.58
The food tastes great,I love listening to music,0.99
The movie was boring,I love listening to music,0.81
The weather is cold,I am cleaning my room,0.37
I am playing football,I am learning something new,0.26
The weather is cold,The bed is comfortable,0.37
It might snow today,The weather is cold,0.86
I am learning something new,The bed is comfortable,0.98
I am reading a book,I am sad,0.07
It is raining today,It is cloudy today,0.86
It is raining today,It might snow today,0.51
I am a bit upset,I am scared,0.73
The bed is comfortable,It is humid today,0.2
I am a bit upset,The weather is cold,0.34
The weather is hot,The weather is cold,0.79
I am playing football,The computer is running,0.26
I am a bit upset,I feel nervous,0.78
I love listening to music,It is raining today,0.32
I am a bit upset,I am tired,0.55
I am cleaning my room,I am studying for exams,0.57
I am sad,I am sad,0.73
The movie was boring,I am feeling great,0.03
I am happy,I feel excited,0.71
I am studying for exams,I am scared,0.44
I am coding a project,I am reading a book,0.67
I am a bit upset,I am cooking dinner,0.48
It is sunny today,It is raining today,0.54
I am studying for exams,The weather is hot,0.18
I love listening to music,I am studying for exams,0.07
I am tired,The movie was boring,0.04
The movie was boring,I am reading a book,0.4
It is windy today,I feel nervous,0.07
The bed is comfortable,It is raining today,0.29
It is raining today,I am a bit upset,0.37
It is windy today,It is sunny today,0.78
I am cleaning my room,I love listening to music,0.29
I am reading a book,I am cleaning my room,0.57
It might snow today,It is raining today,0.65
I am cooking dinner,I love listening to music,0.33
I am learning something new,I am tired,0.47
The movie was boring,The weather is hot,0.43
I am reading a book,The food tastes great,0.22
I am watching a movie,The computer is running,0.03
I am learning something new,It is windy today,0.15
The computer is running,It is sunny today,0.45
I am sad,I am playing football,0.25
I am cleaning my room,I am scared,0.01
The food tastes great,I am happy,0.07
I am tired,I am happy,0.75
I am happy,I feel excited,0.9
I love listening to music,The computer is running,0.67
I am learning something new,I love listening to music,0.61
It is windy today,It is windy today,0.86
The weather is hot,I am watching a movie,0.02
I am playing football,I am watching a movie,0.92
The weather is cold,The computer is running,0.24
I am going to the gym,I feel nervous,0.12
I am going to the gym,The weather is hot,0.19
I am cleaning my room,It is sunny today,0.45
I feel nervous,I am sad,0.82
It might snow today,The weather is cold,0.76
I am a bit upset,I am happy,0.65
The computer is running,The movie was boring,0.9
The computer is running,The movie was boring,0.61
It is sunny today,It is raining today,0.6
It is windy today,It is windy today,0.87
I am feeling great,I am cooking dinner,0.3
I am happy,The movie was boring,0.38
I love listening to music,I am learning something new,0.94
It is windy today,It is humid today,0.8
I love listening to music,I feel excited,0.07
I am scared,The computer is running,0.49
I am scared,I am feeling great,0.75
I am scared,The computer is running,0.45
It is sunny today,It is windy today,0.62
I am studying for exams,I am watching a movie,0.78
I feel nervous,I am a bit upset,0.77
I feel excited,The weather is hot,0.11
I am cooking dinner,The weather is cold,0.42
The movie was boring,The weather is hot,0.34
It is cloudy today,I am playing football,0.44
It is sunny today,It is sunny today,0.76
I love listening to music,The bed is comfortable,0.79
I am going to the gym,The computer is running,0.41
I am happy,The food tastes great,0.28
I am tired,The movie was boring,0.39
It is windy today,The weather is cold,0.67
The computer is running,I love listening to music,0.64
It is humid today,I am cleaning my room,0.25
I am tired,I am sad,0.62
I am cooking dinner,I feel nervous,0.44
The food tastes great,I am coding a project,0.03
I feel excited,It is raining today,0.12
I feel nervous,It is cloudy today,0.1
I am sad,It is windy today,0.04
The weather is cold,It is humid today,0.9
The weather is cold,It is windy today,0.92
I am playing football,I am going to the gym,0.88
I feel nervous,I love listening to music,0.31
It is cloudy today,I feel excited,0.13
I am feeling great,I feel nervous,0.57
I love listening to music,The movie was boring,0.84
The weather is hot,It is windy today,0.67
I feel excited,I feel excited,0.52
It is windy today,The weather is cold,0.62
I am studying for exams,I am watching a movie,0.61
I am playing football,I am cleaning my room,0.86
I am watching a movie,I am a bit upset,0.48
I love listening to music,I am reading a book,0.32
The computer is running,I am tired,0.44
It is cloudy today,It is sunny today,0.75
It is windy today,The food tastes great,0.24
It is humid today,It is windy today,0.65
The movie was boring,I am coding a project,0.13
It is raining today,I am feeling great,0.18
It is sunny today,The food tastes great,0.4
The weather is hot,It is windy today,0.6
The bed is comfortable,I am studying for exams,0.45
The weather is hot,It is humid today,0.7
It is sunny today,It might snow today,0.95
The weather is hot,I am sad,0.44
The weather is hot,I am cooking dinner,0.29
I am going to the gym,The movie was boring,0.39
I am going to the gym,I am reading a book,0.72
The bed is comfortable,I am learning something new,0.61
I am watching a movie,The movie was boring,0.19
I love listening to music,The movie was boring,0.99
It is cloudy today,The weather is hot,0.97
It is raining today,I am learning something new,0.25
It is sunny today,The bed is comfortable,0.19
The food tastes great,I am watching a movie,0.05
I am learning something new,I am studying for exams,0.12
I love listening to music,I love listening to music,0.67
I am coding a project,I am cleaning my room,0.65
It might snow today,I love listening to music,0.48
I am coding a project,It is humid today,0.14
I am scared,I feel excited,0.57
I am learning something new,I am scared,0.48
I am cooking dinner,I feel nervous,0.46
I am feeling great,It might snow today,0.17
The bed is comfortable,It is cloudy today,0.35
I feel excited,I feel excited,0.56
The bed is comfortable,It is sunny today,0.35
I feel excited,I am a bit upset,0.74
It is humid today,It might snow today,0.96
It is cloudy today,The weather is hot,0.79
It is raining today,I am watching a movie,0.11
I am cooking dinner,I am cleaning my room,0.78
I am happy,I am scared,0.66
It is raining today,It is raining today,0.8
The weather is hot,It is raining today,0.73
I am sad,I am a bit upset,0.89
The bed is comfortable,The food tastes great,0.73
I am coding a project,I am cleaning my room,0.76
I am going to the gym,I am coding a project,0.74
It is sunny today,The weather is hot,0.59
The movie was boring,The weather is cold,0.35
I am feeling great,The weather is cold,0.02
It is windy today,I am happy,0.38
The movie was boring,I am scared,0.49
It is humid today,I am studying for exams,0.01
I am coding a project,I feel excited,0.44
The food tastes great,I am sad,0.06
I feel nervous,The computer is running,0.0
It is windy today,The movie was boring,0.3
It is windy today,It is raining today,0.87
I am coding a project,I am playing football,0.78
I am cleaning my room,The food tastes great,0.48
I am learning something new,It is cloudy today,0.44
The movie was boring,I am learning something new,0.81
The computer is running,The computer is running,0.96
It is windy today,The weather is cold,0.95
I am cleaning my room,I am cooking dinner,0.82
I am scared,The food tastes great,0.48
I am learning something new,I am learning something new,0.77
It is raining today,It might snow today,0.79
It is windy today,The computer is running,0.38
I am tired,I am sad,0.61
I am tired,I am happy,0.75
I am cooking dinner,I am studying for exams,0.79
It might snow today,I am sad,0.45
The movie was boring,It is sunny today,0.26
I am sad,I am tired,0.92
I am watching a movie,It might snow today,0.13
It is cloudy today,I am studying for exams,0.07
I am sad,I am coding a project,0.0
I am cooking dinner,The weather is cold,0.23
The movie was boring,The movie was boring,0.86
It is sunny today,It is humid today,0.51
I am happy,I am a bit upset,0.56
I am coding a project,It is humid today,0.33
The movie was boring,It might snow today,0.36
I am happy,I feel nervous,0.88
I am playing football,I am playing football,0.75
The food tastes great,The computer is running,0.9
The food tastes great,I am cleaning my room,0.01
I am a bit upset,I am coding a project,0.24
I am cleaning my room,The weather is hot,0.43
It might snow today,It is windy today,0.92
The weather is cold,I am a bit upset,0.25
The computer is running,The food tastes great,0.56
The bed is comfortable,I am reading a book,0.22
I am learning something new,The weather is hot,0.14
The bed is comfortable,It is humid today,0.37
I am watching a movie,It is windy today,0.41
The weather is hot,The weather is cold,0.68
I am scared,I feel excited,0.88
I am studying for exams,I am a bit upset,0.1
I am feeling great,It is cloudy today,0.05
I am learning something new,It is cloudy today,0.12
I am learning something new,I am watching a movie,0.26
I am playing football,I am learning something new,0.02
It might snow today,The movie was boring,0.31
The bed is comfortable,It is cloudy today,0.18
I am feeling great,I am reading a book,0.13
I am reading a book,I am watching a movie,0.54
I am learning something new,I am watching a movie,0.01
I am scared,I am cooking dinner,0.32
It is raining today,The weather is cold,0.8
I am scared,I am tired,1.0
I am studying for exams,I love listening to music,0.15
I am feeling great,It is cloudy today,0.19
The movie was boring,I am scared,0.05
The movie was boring,I am cleaning my room,0.19
I am reading a book,I am reading a book,0.51
I am tired,I am reading a book,0.19
I feel excited,I feel excited,0.72
The food tastes great,The food tastes great,0.76
I am learning something new,The food tastes great,0.6
I am watching a movie,I feel nervous,0.13
I am tired,The food tastes great,0.43
It is humid today,It is raining today,0.61
I am learning something new,I am cooking dinner,0.45
I am tired,I am going to the gym,0.05
The food tastes great,I am scared,0.38
I feel nervous,I feel excited,0.81
I love listening to music,The computer is running,0.95
I love listening to music,I am going to the gym,0.36
The weather is hot,The bed is comfortable,0.34
The weather is cold,I am scared,0.09
It is windy today,I am feeling great,0.15
I am sad,I am going to the gym,0.03
The weather is hot,It is windy today,0.53
It might snow today,The bed is comfortable,0.15
I am a bit upset,I am feeling great,0.73
It is sunny today,It is cloudy today,0.71
The bed is comfortable,I love listening to music,0.97
It is cloudy today,It is raining today,0.73
I am feeling great,I am tired,0.65
It is sunny today,I am sad,0.37
I am learning something new,The food tastes great,0.72
It is windy today,I am happy,0.17
The bed is comfortable,The movie was boring,0.75
The bed is comfortable,The computer is running,0.84
I am cooking dinner,I am coding a project,0.93
The movie was boring,It is sunny today,0.24
It is raining today,It is humid today,0.52
It is raining today,I am studying for exams,0.23
The bed is comfortable,The computer is running,0.97
I am a bit upset,It is cloudy today,0.01
I am playing football,I am coding a project,0.72
It is humid today,The food tastes great,0.09
The bed is comfortable,The computer is running,0.91
I feel excited,It is raining today,0.17
The computer is running,I am scared,0.39
I am studying for exams,The weather is cold,0.17
I am going to the gym,It is cloudy today,0.02
I am feeling great,I am scared,0.87
I am cleaning my room,I am feeling great,0.01
I feel excited,I feel excited,0.8
The movie was boring,It is cloudy today,0.46
I am tired,The computer is running,0.42
I am learning something new,I am learning something new,0.57
I am cooking dinner,It is humid today,0.08
I am cleaning my room,I am playing football,0.86
I am going to the gym,The computer is running,0.36
The movie was boring,I feel excited,0.22
The food tastes great,The movie was boring,0.96
I am feeling great,I am scared,0.89
I am scared,It is humid today,0.04
I love listening to music,The weather is hot,0.35
I am playing football,I am coding a project,0.78
I am learning something new,It is cloudy today,0.26
It is raining today,The weather is cold,0.68
I am cooking dinner,I feel nervous,0.42
I am going to the gym,I am scared,0.1
It is windy today,I am happy,0.37
I am going to the gym,It is windy today,0.24
It is windy today,It is raining today,0.92
I am learning something new,I feel excited,0.24
The computer is running,I am playing football,0.3
I am studying for exams,I am cleaning my room,0.87
It might snow today,It is cloudy today,0.59
The bed is comfortable,I am tired,0.07
It is cloudy today,It is sunny today,0.85
I am playing football,I am playing football,0.58
I am watching a movie,I am going to the gym,0.86
I am going to the gym,The food tastes great,0.17
The food tastes great,The computer is running,0.83
I am a bit upset,I am sad,0.66
It is sunny today,It might snow today,0.67
I am feeling great,I love listening to music,0.09
I am sad,The bed is comfortable,0.32
I am studying for exams,I am cleaning my room,0.61
I am watching a movie,I am playing football,0.73
The computer is running,I am learning something new,0.67
